Description,Intent
Is there a way to track the delivery of my card?,cardArrival
What's the expected wait time to recieve my new card?,cardArrival
I don't have my card in 1 week. Should I be worried?,cardArrival
How long is the delivery to the US?,cardArrival
Can you tell me when my card will arrive?,cardArrival
"I've been waiting a while for my card, is there a way to know when it will arrive?",cardArrival
Can I track my card while it is in the process of delivery?,cardArrival
I haven't received my card and am worried it is lost.,cardArrival
How long does it take for a new card to ship?,cardArrival
I need my card as quick as possible,cardArrival
How soon will I get my card?,cardArrival
How long will it take to deliver to the US?,cardArrival
When will I receive my card?,cardArrival
How long does it take to receive my card?,cardArrival
How long does it take for my physical card to be delivered.,cardArrival
My card hasn't arrived.,cardArrival
I'm still waiting for my new card.,cardArrival
I am still waiting on my card?,cardArrival
How long will it take my card to get here?,cardArrival
When will it get delivered?,cardArrival
It's been a week since I ordered my card and it's not here. Please help?,cardArrival
How do I know when my new card is going to arrive?,cardArrival
Can I have it delivered on the date I need it delivered?,cardArrival
What's the tracking on the card you sent?,cardArrival
What is the length of time for one of these items to come to the U.S?,cardArrival
Will I have to wait much longer for my new card to arrive?,cardArrival
When will it be delivered to the US?,cardArrival
Can I choose the day it's delivered?,cardArrival
Can I have my card delivered on Tuesday?,cardArrival
When shipped to the US how long is delivery time?,cardArrival
Will my card be here soon?,cardArrival
When can I expect my card?,cardArrival
My card hasn't arrived in the mail yet. I ordered it two weeks ago. What can I do?,cardArrival
Is there a tracking number for the card you sent me?,cardArrival
Could I chose the date to have it delivered?,cardArrival
How can I periodically check the delivery of the card you sent?,cardArrival
can you express my card to me?,cardArrival
Does the package with my card have tracking?,cardArrival
WHAT IS THE SOLUTION OF THIS PROBLEM,cardArrival
How long will it take to have my card mailed to me?,cardArrival
When will my card be here?,cardArrival
How long does it take for cards to be delivered after ordering them?,cardArrival
Can I choose when my card is delivered?,cardArrival
It's been a week since you sent my card and I still don't have it.,cardArrival
What is the expected delivery date for my card?,cardArrival
How do I track the card you sent me?,cardArrival
"i am express delivering my card to the us, how long will that take",cardArrival
"I still haven't received my card after two weeks, is it lost?",cardArrival
I need my card ASAP!,cardArrival
What is the estimated date for delivery to US?,cardArrival
How can I check on the delivery status of my card?,cardArrival
How many days to deliver to a US customer?,cardArrival
How long will this take to get to me?,cardArrival
When should I expect to receive my card?,cardArrival
My card still hasn't been delivered,cardArrival
I need to get my card quickly,cardArrival
Is my card lost? I am still waiting for it to be delivered.,cardArrival
When can I expect my card to arrive?,cardArrival
I'd like to have it delivered on Saturday.  Is that possible?,cardArrival
When will my card be delivered?,cardArrival
What's the earliest time to receive my card?,cardArrival
"If I need delivery on a certain day, is that something that could be accommodated?",cardArrival
"I would like to track a card sent to me, how do I do that?",cardArrival
Where is my credit card that was to be mailed?,cardArrival
"I haven't received my card yet, how long does it normally take?",cardArrival
can I choose delivery times to suite me?,cardArrival
I placed my order a week ago. Is it ok that my card isn't here yet?,cardArrival
Am I able to track the card that was just sent to me?,cardArrival
"My card was supposed to arrive, but hasn't?",cardArrival
I need my card delivered as soon as possible.,cardArrival
How long until the card arrives?,cardArrival
Is there a tracking number for the card?,cardArrival
How long does it take for me to get my new card?,cardArrival
How long is the delivery time to the US?,cardArrival
"How do I know if I will get my card, or if it is lost?",cardArrival
what is the leadtime for a new card to show up in the mail?,cardArrival
How long is US delivery?,cardArrival
how soon will my card arrive?,cardArrival
Could I get tracking on the card?,cardArrival
Can cards be dispatched on a specific date?,cardArrival
Does the card you sent have a tracking number?,cardArrival
Is there a way to track the new card you sent me?,cardArrival
It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,cardArrival
How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,cardArrival
"If I ordered my new card last week, how much longer should I wait to receive it?",cardArrival
I need my card to be delivered fast,cardArrival
Can I track the card that was just sent to me?,cardArrival
Help! When will the card arrive at my home?,cardArrival
How long is delivery to the US?,cardArrival
When should I expect my card to arrive?,cardArrival
How will I get my card?,cardArrival
Can I get an update on my replacement card?,cardArrival
What do I need to do to get my new card which I have requested 2 weeks ago?,cardArrival
2 weeks ago I ordered my new card. It isn't here. What should I do?,cardArrival
"What's go on, where is my new card?",cardArrival
I ordered my card a couple weeks ago and haven't received it yet. When can I expect it?,cardArrival
What is the delivery time for US?,cardArrival
i need to add express delivery if that's an option,cardArrival
Is there a specific date i can have it delivered?,cardArrival
Please send my card as quickly as possible.,cardArrival
When will I get my new card?,cardArrival
I am still waiting for my card.,cardArrival
What do I do if I still have not received my new card?,cardArrival
When can I expect delivery?,cardArrival
When can I expect my card? I live in the US.,cardArrival
how to track the card you sent,cardArrival
How can I see the progress of delivery of the card that was sent?,cardArrival
Can I track when my card will be delivered?,cardArrival
I'm still waiting for my card.,cardArrival
Have you sent out my card yet?,cardArrival
I ordered my card but it hasn't been delivered yet,cardArrival
Can i choose a specific delivery date?,cardArrival
I have been waiting over a week. Is the card still coming?,cardArrival
"On the card that is coming, what's the tracking info?",cardArrival
I want to find out what happened to my new card?,cardArrival
My new card has not been delivered to my home yet. What is going on?,cardArrival
Do you have info about the card on delivery?,cardArrival
Can it specifically be delivered on a certain date?,cardArrival
When will my card come? I need it as soon as possible!,cardArrival
Can I have it delivered on a specific date?,cardArrival
Are the delivery days flexible?  My schedule only allows me to be a available on specific dates.,cardArrival
How long does it take for a card to arrive?,cardArrival
How soon do cards arrive after I order them?,cardArrival
Was there a way for me to get tracking for that?,cardArrival
Can I have it by a certain date?,cardArrival
If I order a card when does it arrive?,cardArrival
My new card hasn't came in.,cardArrival
My card isn't here yet.,cardArrival
how long does it take to get my card i am in a rush,cardArrival
I know I'm getting a new card but would like know when I can expect to receive it.,cardArrival
How long does it take for the card to come?,cardArrival
Shouldn't my new card be here by now?,cardArrival
"To deliver to the US, how long will it take?",cardArrival
My card is needed soon,cardArrival
I need my card immediately.,cardArrival
How long will delivery to the US take?,cardArrival
I ordered my card and it isn't here yet. I need it ASAP. When can I expect to get it?,cardArrival
how long does delivery take?,cardArrival
Can you track my card for me?,cardArrival
I ordered a card and would like to know how to track the delivery progress of it.,cardArrival
Has my card been lost in delivery?,cardArrival
Where is my card?,cardArrival
When did you send me my new card?,cardArrival
What is delivery speed to the United States?,cardArrival
Is there a way to track my card?,cardArrival
Can you tell me how long it takes for a new card to come?,cardArrival
How quickly can you get me my card?,cardArrival
What is the wait time for delivery to the US?,cardArrival
What can I do to track the card you sent me?,cardArrival
How long does it take for something to be delivered to the U.S?,cardArrival
Can you tell me why I haven't received my new card yet?,cardArrival
What is the status of my card's delivery?,cardArrival
How long will it take for me to get my card?,cardArrival
where is my new card?,cardArrival
When can I expect my new card to get here?,cardArrival
Can I reactivate a card?,cardLinking
"I received my card, how do I get it to work in the app?",cardLinking
"Hey, I have my card, how do I get it to show in the app?",cardLinking
How do I activate and link my new card?,cardLinking
I need some help linking my new card.,cardLinking
If I have a credit card with you how I get set up to link to it?,cardLinking
I found my lost card. Am I still able to use it?,cardLinking
How do I add the card I just received to show up in the app?,cardLinking
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,cardLinking
How do I add my new card?,cardLinking
help me link my card,cardLinking
How do I link one of your card that I already have?,cardLinking
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",cardLinking
I already have a card and want to link it,cardLinking
Will I need a new card or can I put my old card back into the app?,cardLinking
"The card I thought was lost was just in my jacket, so can I reactivate it since I found it this morning?",cardLinking
"I thought I lost my card so I cancelled it, but recently I found it in my jacket and I would like to re-establish the card.",cardLinking
I found my card! Can I link it back into the app?,cardLinking
"I would like to re-activate my card, it was previously reported  lost but I found it this morning.",cardLinking
"I found my card, am I able to put it back into the app?",cardLinking
"I've obtained the card, how do I enable it on the app?",cardLinking
How do I add an existing card to the app?,cardLinking
Where in the app do I go to make my new card show up?,cardLinking
Is there a way to link cards if I have one of yours?,cardLinking
If I have a physical card can I link it?,cardLinking
If my card was lost or stolen can I re-link it?,cardLinking
Can I link my card I previously received?,cardLinking
"I received my card, how do I get it to show in the app?",cardLinking
Is there any way to see my card in the app?,cardLinking
What is the process to link the new card?,cardLinking
I would like to reactivate a card and wondered if that could be done?,cardLinking
"Show me how to link the new card,",cardLinking
"My card arrived but I need to make it work in the app, how do I do that?",cardLinking
How can I make my card show up in the app?,cardLinking
"I want to link to my card card with you, how?",cardLinking
Is it possible to link a new card?,cardLinking
"I just received a new card, where do I go to link it to my account?",cardLinking
I need to find the card I received in the app.,cardLinking
I found my lost card in my jacket pocket this morning so I'd like to reactivate it please.,cardLinking
"I got a new card, how do I link it?",cardLinking
"I have one of your cards, but I don't know how to link it.",cardLinking
How do I link my new card?,cardLinking
I want to link my new card. Can you help?,cardLinking
I just got my card.  It's not linked yet--how do I do that?,cardLinking
What do I do if I already had a card with you guys?,cardLinking
"I need a card reactivation, I had reported my card lost but I ran across it in my jacket.",cardLinking
"I found my card that I thought I had lost, I need to reactive it, please help.",cardLinking
I got a new card and can't find where to link it.,cardLinking
I deactivated my card but would like to reactivate it.,cardLinking
How do I link a new card in the app?,cardLinking
How do I add my new card to the app?,cardLinking
"lost card found, want to put it back in app",cardLinking
Can you please reactivate my card?,cardLinking
How do I link my card in the app.,cardLinking
I received my card. How do I link it to the app?,cardLinking
How do I add a new card?,cardLinking
You sent me a card and now I want to link it.,cardLinking
I found my card again. Can I put it back into the app?,cardLinking
"I found my card in my jacket this morning, so can I reactivate it?",cardLinking
Is it possible to reactivate the card I thought I lost but found this morning in my jacket?,cardLinking
How can I link the new card?,cardLinking
How do I link a new card to an existing one?,cardLinking
Can I link your physical card,cardLinking
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",cardLinking
"The card I thought I lost was in my jacket pocket this morning, so can I reactivate that?",cardLinking
"My new card isn't in my app, how do I get it in there?",cardLinking
"Okay, I found my card, can I put it back in the app?",cardLinking
How do I link an existing card?,cardLinking
Can I add a card that I just found (again) to the app?,cardLinking
Can I add a card back to the app?,cardLinking
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",cardLinking
How do I see my card in the app?,cardLinking
I found the card I thought I lost this morning. Can I reactivate this card?,cardLinking
Where do I go to add a new card?,cardLinking
What do I need to do to link my new card for my account?,cardLinking
How do I link a new payment card?,cardLinking
can I link a card of yours I already have?,cardLinking
"I recently reported my card as missing/lost, and I just found it. Can I still use it?",cardLinking
How do I reactivate my card?,cardLinking
Can you show me where to link the new card?,cardLinking
Where do I go to get my new card linked?,cardLinking
My card has been found. Is there any way for me to put it back into the app?,cardLinking
How do I link the new card that I just got from you guys?,cardLinking
Where do I scan my card?,cardLinking
What if I want to add a card I already have to the app?,cardLinking
Can I reactivate my card? I reported it lost and found it this morning in my jacket.,cardLinking
I don't see my card anywhere in the app.,cardLinking
I want my card I just received to show up in the app. How do I do that?,cardLinking
"Now that I have my card, how do I connect it to the app?",cardLinking
"found card, how to put it back in app",cardLinking
Can I put my found card back into the app on my phone?,cardLinking
"I want to reactivate my card, I thought I had lost it but found it again in my jacket.",cardLinking
How do I add my card to the app once I get it?,cardLinking
How do i go about linking a new card?,cardLinking
How can I add a new card?,cardLinking
How do I add a card on to the app?,cardLinking
how do I get my card to show in the app?,cardLinking
"I found the card that I thought I lost, and I would like to reactivate it.",cardLinking
How do I reactivate a card I thought I lost?,cardLinking
I found my card. How can I put it into my app?,cardLinking
Help me access the card I already got so I can information from it.,cardLinking
Where in the app do I link a new card?,cardLinking
"In the app, how can I make it show the new card that arrived?",cardLinking
"I just got a card, how can I add it to the app?",cardLinking
How do I link the new card?,cardLinking
I was able to find my card. How to I go about putting it into my app?,cardLinking
Can I put my old card back in the app?,cardLinking
How do I get my card into the app?,cardLinking
Is there a way to link the card i just got?,cardLinking
"I thought I lost my card but I found it today, so I would like to reactivate it.",cardLinking
"I want to reactivate my card, I thought I had lost it but found it again this morning.",cardLinking
I received my new card.  Where is it in the app?,cardLinking
"I have found my lost or stolen card, would I still have to activate the new card that was sent to me through the mail in order to access my account?",cardLinking
"May I reactivate my card? I previously reported it lost, but have now found it safe and sound.",cardLinking
Help me figure out how to link the new card.,cardLinking
What do I do to link my new card?,cardLinking
Where can I link a new card?,cardLinking
I finally got my card.  Now I want to link it.  Is that something you have to do or can I do that?,cardLinking
"I got my card now, how do I make it show up in the app?",cardLinking
"I want to reactivate my card, I thought I had lost it but I found it.",cardLinking
how do I link an old card?,cardLinking
Can I re-link a lost card with the app?,cardLinking
"Card has been received, how will it show up on the app?",cardLinking
I would like to reactivate my card that I previously reported lost. I located the card this morning.,cardLinking
I have a card that was deactivated can I reactivate it?,cardLinking
How do I make my card show up in the app?,cardLinking
"I want to reactivate my card, I found it after thinking it was lost.",cardLinking
Can you tell me how to get my card on the app?,cardLinking
how do i get the card linked,cardLinking
How do I get my card on the app?,cardLinking
"I got a card, how do I get it in the app?",cardLinking
Can I add a card to back into the app?,cardLinking
"I found my card, how can I use it again?",cardLinking
if i found a lost card can i put it back in app,cardLinking
Can I activate a card in the app?,cardLinking
I would like to link my card to my account.,cardLinking
How do I make my card appear on the app?,cardLinking
My card is no longer lost. How do I enter it back into the app?,cardLinking
I found my old card. Can I link it back into the app?,cardLinking
compare the products,comparison
what is the difference,comparison
how it is different from,comparison
how are they similar,comparison
how are they dissimilar,comparison
compare the products,comparison
Isn't that the same thing?,comparison
please compare them,comparison
help me choose one,comparison
two separate,comparison
how are they different,comparison
what are the differentiating factor,comparison
what are the differentiating factor,comparison
dissimilarity between,comparison
which is better?,comparison
in comparison to the other,comparison
how is it better than,comparison
compare these two,comparison
based on what criteria these are different?,comparison
how is it better than,comparison
how are they similar,comparison
entirely different,comparison
compare the products,comparison
how it is different from,comparison
how is it better than,comparison
these are different?,comparison
how it is different from,comparison
how are they different,comparison
how are they similar,comparison
which is best?,comparison
in comparison to the other,comparison
what are the differentiating factor,comparison
aren't these two similar?,comparison
are they two different things?,comparison
how different are they,comparison
how are these two different,comparison
point of differences,comparison
how are they different,comparison
difference between,comparison
Amongst all which is best for me?,comparison
in comparison to the other,comparison
can you compare these two for me?,comparison
how are these two different?,comparison
which one will be better for me?,comparison
can you compare between,comparison
Which one is better?,comparison
What is the difference between these two policies?,comparison
Which one of the following schemes works for me,comparison
How is credit card better than debit card,comparison
Are these two same?,comparison
how is general loan different from educational loan?,comparison
which one will be more suitable for me?,comparison
How is this better than that?,comparison
Why should i prefer credit card over debit card?,comparison
define it to me,define
could you define it,define
define that,define
tell that ,define
could you give me some info,define
what is,define
what does that mean,define
what is that explain,define
define it,define
how exactly,define
how to do that,define
how to take loan,define
what is that,define
define that,define
what do you mean,define
explain how to,define
tell me about,define
Can I get some info about,define
what is meant by,define
how to,define
explain what is,define
define,define
what is a merchant site?,define
what is a,define
what is the procedure,define
home loan,discoTerms
borrow loan,discoTerms
loan amount,discoTerms
education loan,discoTerms
interest rate,discoTerms
interest for home loans,discoTerms
details of interest rate,discoTerms
high interest rate,discoTerms
low interest rate,discoTerms
interest rate less than,discoTerms
interest rate is high,discoTerms
how much emi,discoTerms
show me loan details,discoTerms
what amount of loan i can take,discoTerms
what is the intrest for home loan,discoTerms
what is the interest for education loan,discoTerms
What if I want loan for higher amount and longer duration?,discoTerms
i want to take a loan,discoTerms
how to take a loan,discoTerms
loan details,discoTerms
Why I am not able to select loan amount below 25000?,discoTerms
Why I am not able to select loan tenure below 6 month?,discoTerms
"If I Pay some Lumpsum amout ,will my EMI reduce?",discoTerms
how long i have to pay the EMI,discoTerms
EMI is high,discoTerms
i will take it on EMI,discoTerms
paid my EMI,discoTerms
EMI details,discoTerms
Why I am not able to select loan amount below 25000?,discoTerms
"If I Pay some Lumpsum amout ,will my EMI reduce?",discoTerms
Why I am not able to select loan tenure below 6 month?,discoTerms
Is the Interest rate  fixed or floating?,discoTerms
Can I select my EMI amount?,discoTerms
Can I get credit of loan amount in Account other than mentioned on the  screen,discoTerms
Can I avail 2 Pre-approved Loans,discoTerms
Why I am not able to select loan amount below 25000?,discoTerms
Can I select my EMI amount?,discoTerms
Can I avail 2 Pre-approved Loans,discoTerms
"If I Pay some Lumpsum amout ,will my EMI reduce?",discoTerms
Can I get credit of loan amount in Account other than mentioned on the  screen,discoTerms
Can I select my EMI amount?,discoTerms
Can I get credit of loan amount in Account other than mentioned on the  screen,discoTerms
Is the Interest rate  fixed or floating?,discoTerms
How do your exchange rates factor in?,exchangeRate
On what do you base your exchange rates?,exchangeRate
What is the system for determining the exchange rate?,exchangeRate
How's the exchange rate?,exchangeRate
Where can I find the exchange rate for my transfer?,exchangeRate
How is an exchange rate calculated?,exchangeRate
What method do you use for the exchange rate?,exchangeRate
How are exchange rates calculated at this bank?,exchangeRate
"When exchanging, how much are the rates?",exchangeRate
What's the process for exchanges?,exchangeRate
How are the exchange rates determined?,exchangeRate
What is my money worth in other countries?,exchangeRate
How do you find the exchange rate?,exchangeRate
How do you determine your exchange rates?,exchangeRate
What will my exchange rate be?,exchangeRate
How do you decide what the exchange rates are?,exchangeRate
Your exchange rates come from where?,exchangeRate
Tell me your opinion on the exchange rate.,exchangeRate
How does the exchange rate work?,exchangeRate
What exchange rate will I receive?,exchangeRate
"If I need to cash foreign transfers, how does that work?",exchangeRate
How do you calculate exchange rates?,exchangeRate
How do you do currency exchanges?,exchangeRate
Where does the exchange rate stand right now?,exchangeRate
What are the exchange rates?,exchangeRate
I would like to know what exchange rates you use?,exchangeRate
What are Interbanks current exchange rates?,exchangeRate
from where are coming your exchange rates?,exchangeRate
Where can I get your exchange rates from?,exchangeRate
Is there a specific source that the exchange rate for the transfer I'm planning on making is pulled from?,exchangeRate
What are the exchange rates you assign?,exchangeRate
What do you think of the exchange rate?,exchangeRate
What is an exchange rate?,exchangeRate
I want to know your exchange rates.,exchangeRate
What exchange rates do you use?,exchangeRate
What's the foreign exchange rate I will receive?,exchangeRate
Could you please tell me your exchange rates?,exchangeRate
What exchange rate is it?,exchangeRate
What do you use to figure out the exchange rate for the card?,exchangeRate
How are the exchange rates for transfers calculated?,exchangeRate
where do you find your exchange rates?,exchangeRate
What is the foreign exchange rate you will apply?,exchangeRate
What foreign exchange rate will I get on weekdays and on the weekends?,exchangeRate
explain the interbank exchange rate,exchangeRate
I'd like to know what you guys look at to decide an exchange rate,exchangeRate
How are your exchange rates calculated?,exchangeRate
Can you tell me your exchange rates?,exchangeRate
How do you do exchanges?,exchangeRate
What is your opinion on the exchange rate?,exchangeRate
What is the basis of your exchange rates?,exchangeRate
How are foreign exchange rates determined?,exchangeRate
How do you come up with your exchange rate,exchangeRate
I'd like to know what the foreign exchange rate will be.,exchangeRate
I'm interested in what your exchange rates are based on.,exchangeRate
How is the current exchange rate?,exchangeRate
How do I know what the exchange rate will be when I make an exchange.,exchangeRate
What are your exchange rates calculated from?,exchangeRate
I am travelling and I was wondering what your exchange rates are,exchangeRate
What factors determine your exchange rate?,exchangeRate
What is the exchange rate for EUR?,exchangeRate
Does the exchange rate change?,exchangeRate
What is the exchange looking like?,exchangeRate
How's the exchange rate looking right now?,exchangeRate
Please explain the exchange rates.,exchangeRate
How do I know what exchange rate I will get?,exchangeRate
How did you guys get your exchange rate?,exchangeRate
i need to know about exchange rates,exchangeRate
Will I know which exchange rate I will get?,exchangeRate
How do the foreign exchange rates work?,exchangeRate
How do you determine the exchange rate?,exchangeRate
how do you get exchange rates,exchangeRate
How much are the rates of exchange?,exchangeRate
What foreign exchange rate will I get?,exchangeRate
What are the current exchange rates?,exchangeRate
How can I tell what foreign exchange rate I will get?,exchangeRate
How will I know what the exchange rate is?,exchangeRate
I would like to know how exchange rates are calculated when transferring funds.,exchangeRate
Does this app have the same exchange rate as third parties?,exchangeRate
How do you determine exchange rates?,exchangeRate
Where do you get those exchange rates?,exchangeRate
Can you explain your exchange rates basis?,exchangeRate
Could you tell me what your exchange rates are?,exchangeRate
Where can I find your exchange rates?,exchangeRate
Do you know the rate of exchange?,exchangeRate
What is the present state of the exchange rate?,exchangeRate
How is the exchange rate calculated?,exchangeRate
How are exchange rates determined?,exchangeRate
What is the formula for your exchange rate?,exchangeRate
What are you exchange rates?,exchangeRate
Will my money be of equal value when I travel abroad?,exchangeRate
Why is your exchange rate different on different days?,exchangeRate
How do I know how much money I will have when I travel abroad?,exchangeRate
Is the exchange rate current?,exchangeRate
Do you have the best exchange rate?,exchangeRate
What factors effect the exchange rate?,exchangeRate
what are your exchange rates at?,exchangeRate
I need to know what foreign exchange rate I can get.,exchangeRate
I would like to know what your exchange rates are.,exchangeRate
How does the exchange rate work on this app?,exchangeRate
What is the current exchange rate?,exchangeRate
Where are you getting your exchange rates from?,exchangeRate
How is the exchange rate doing?,exchangeRate
How do you decide what your exchange rates are?,exchangeRate
Do you know what your exchange rates are?,exchangeRate
What is the source of your exchange rates?,exchangeRate
Please explain your exchange rate policy.,exchangeRate
Is the exchange rate the same on weekends as the weekdays?,exchangeRate
What value can I get for my currency?,exchangeRate
I need to know what your exchange rates are.,exchangeRate
How can I find your exchange rates?,exchangeRate
Is there an exchange rate?,exchangeRate
Your exchange rates are coming from where?,exchangeRate
you are great,Excited
thats nice,Excited
wow,Excited
wow,Excited
thats great,Excited
you are the best,Excited
thats great,Excited
thats great,Excited
that is great,Excited
bless you,Excited
awesome,Excited
I am super excited,Excited
that is great,Excited
awesome,Excited
yayy,Excited
wow!,Excited
wow,Excited
great,Excited
thats nice,Excited
thats so good,Excited
great,Excited
you are amazing,Excited
totally in,Excited
awesome,Excited
that is great,Excited
tysm,Excited
thats nice,Excited
looking forward to it,Excited
great,Excited
that sounds amazing,Excited
thats great,Excited
Why has another fee been placed on my statement?,extra_charge_on_statement
There is an odd 1£ charge that appears as pending on my statement. What's the reason for that? I haven't purchased anything for a pound.,extra_charge_on_statement
Why is there an extra €1 fee in my statement?,extra_charge_on_statement
A pending charge of 1L appears on my statement.  Please explain as I have not made a purchase for that amount,extra_charge_on_statement
I was overcharged an additional pound.,extra_charge_on_statement
I had to pay one pound more than the set price!,extra_charge_on_statement
My statement is showing an extra £1 charge and I am unsure why. Is there an explanation for this?,extra_charge_on_statement
Why do I see an extra €1 charge on my statement?,extra_charge_on_statement
An extra pound was charged!,extra_charge_on_statement
I had to pay a pound more than I anticipated!,extra_charge_on_statement
I was wrongfully charged one pound.,extra_charge_on_statement
I need some help figuring out what this strange payment is on my account. It's stays pending and won't go away.,extra_charge_on_statement
why was i charged a small amount,extra_charge_on_statement
What is this extra pound charge for?,extra_charge_on_statement
"I just checked my statement and saw a $1 charge, why is it there?",extra_charge_on_statement
There is  an extra 1£ charge on my app. Why did it charge me extra?,extra_charge_on_statement
I do not know why I was charged for the $1 transaction.,extra_charge_on_statement
I've been charged an extra £1 and I don't know why,extra_charge_on_statement
There is a  €1 fee on my account I didn't authorize,extra_charge_on_statement
How come there is a $1 extra charge on my statement?,extra_charge_on_statement
Why did a transaction I made charge me $1?,extra_charge_on_statement
Can you tell me what this fee is on my statement?,extra_charge_on_statement
Why is there an extra fee on my statement?,extra_charge_on_statement
"In my statement, I got a €1 extra fee.",extra_charge_on_statement
why is there a service fee on my statement?,extra_charge_on_statement
What is the reason for the extra fee on my statement?,extra_charge_on_statement
What does the €1 fee mean?,extra_charge_on_statement
Why is there a €1 charge on my statement?,extra_charge_on_statement
Why was I charged more than I should have been?,extra_charge_on_statement
There is some odd 1£ charge that appears as pending on my statement. What's that about? Pretty sure I haven't purchased anything for a pound there.,extra_charge_on_statement
Can you please explain to me why there is an extra €1 fee in my statement?,extra_charge_on_statement
"There must have been a mistake, why was I charged an extra pound?",extra_charge_on_statement
why does my statement contain an extra fee?,extra_charge_on_statement
The $1.00 has still not been reverted as indicated in the previous email.,extra_charge_on_statement
Why is there a fee added to my statement?,extra_charge_on_statement
What is this $1 charge on my account?,extra_charge_on_statement
Can you tell me why I was charged $1 for a transaction?,extra_charge_on_statement
I have no idea why there is a dollar that has been charged to my account.,extra_charge_on_statement
I checked my statement and am being charged one pound. Where did this charge come from?,extra_charge_on_statement
Why is there a $1 charge on my statement?,extra_charge_on_statement
Why would there be an extra charge on my app?,extra_charge_on_statement
I don't understand why there is an extra €1 fee in my statement.,extra_charge_on_statement
"There seems to be an additional charge of £1 on my statement, what is the reason for this?",extra_charge_on_statement
I noticed an extra pound charge?,extra_charge_on_statement
I wanted to know about a pending dollar that is on my statement.,extra_charge_on_statement
What is this extra €1 fee about?,extra_charge_on_statement
I am being charged a pound out of nowhere. What is this?,extra_charge_on_statement
My statement shows an extra fee - what is it?,extra_charge_on_statement
I still have not received an answer as to why I was charged $1.00 in a transaction?,extra_charge_on_statement
Why i'm I being charged an extra pound,extra_charge_on_statement
There is a strange 1£ charge that appears as pending on my statement. What's the cause for that? I haven't purchased anything for a pound.,extra_charge_on_statement
I was charged extra or a hidden fee when I purchased something from you. What's the deal? I didn't authorize that charge.,extra_charge_on_statement
Can you tell me about why the account I have was charged an extra 1$,extra_charge_on_statement
Why did I get charged one pound seemingly randomly?,extra_charge_on_statement
I was charged an extra dollar on my account and would like to know the reason.,extra_charge_on_statement
What is this €1 charge?,extra_charge_on_statement
what was the $1 fee i got,extra_charge_on_statement
Why is there an extra charge on my statement.,extra_charge_on_statement
What is the $1 transaction on my account?,extra_charge_on_statement
"There is an unexplained $1 charge on my statement, can you please explain this to me?",extra_charge_on_statement
I  see an extra 1£ charge on my app. Why did It charge me extra?,extra_charge_on_statement
There is a 1£ charge that appears as pending on my statement. What is that? I haven't purchased anything for a pound there.,extra_charge_on_statement
There is a €1 extra fee in my statement,extra_charge_on_statement
Why did I get a $1 extra fee on the statement?,extra_charge_on_statement
There is an extra 1£ charge on my app. Why did you charge me extra?,extra_charge_on_statement
Why have I been charged an extra pound?,extra_charge_on_statement
I was charged $1 in a transaction.,extra_charge_on_statement
Why does my statement show a $1 charge on my account?,extra_charge_on_statement
"There's a €1 fee on my statement, why?",extra_charge_on_statement
Is there a reason there's an extra fee on my statement?,extra_charge_on_statement
I had a dollar charged to my account that's still pending and wanted to know what the charge is for?,extra_charge_on_statement
"When I look at my statement there is an extra fee, that is for what?",extra_charge_on_statement
Where did the  €1 fee in my statement come from,extra_charge_on_statement
I was overcharged one extra pound!,extra_charge_on_statement
I think I may have been charged $1 extra on my app.  Could you provide some insight as to why this may have happened?,extra_charge_on_statement
I see I was charged $1 for a transaction.,extra_charge_on_statement
Why is there an additional fee showing on the statement I received?,extra_charge_on_statement
What is this fee debit on my account?,extra_charge_on_statement
€1 was in my statement as an extra fee.,extra_charge_on_statement
Why is there an extra charge of 1 dollar on my statement?,extra_charge_on_statement
I have been charged an extra pound!,extra_charge_on_statement
I was charged an extra pound.,extra_charge_on_statement
Why do I see an extra fee on my statement?,extra_charge_on_statement
What is the extra €1 on my statement for?,extra_charge_on_statement
There is a charge for 1£ on my statement.  I do not think that I bought anything that costed 1£.  What is going on?,extra_charge_on_statement
Why was I charged an additional $1?,extra_charge_on_statement
"My statement shows a 1£ purchase pending. I do not remember making this purchase, please let me know what this is about.",extra_charge_on_statement
Why is it showing that my account has been charged a dollar that is showing as pending?,extra_charge_on_statement
My statement is showing I was Charged a dollar and I am not sure why.,extra_charge_on_statement
"I looked at my statement, and there is a charge for 1£ that I don't recognize.  Why is it on there?",extra_charge_on_statement
There is a charge for an additional pound.,extra_charge_on_statement
Why do i have an extra fee on my statement?,extra_charge_on_statement
Why did they charge me an extra $1?,extra_charge_on_statement
Is the 1 pound charge I can see an error or an incorrect entry?,extra_charge_on_statement
Is there a reason why there is an extra £1 charge on my account?,extra_charge_on_statement
How come I was charged a transaction of $1?,extra_charge_on_statement
I was overcharged a pound.,extra_charge_on_statement
"I checked my statement and saw a charge of one pound, where is this charge coming from?",extra_charge_on_statement
"In my statement, there was an extra €1 fee",extra_charge_on_statement
